item_name,barcode,department,entered_by,price,purchase_date
Masa lambası LED,69173528,Istanbul Office,Ayşe Demir,58.00,2024-02-13
Lámpara escritorio,43827596,Madrid Office,Pablo García,42.50,2024-02-21
desk light,71593846,Accounting,Mike Chen,28.99,2024-03-03
lamp,94628375,Conference Room,Admin,89.00,2024-03-11
Coffee machine Nespresso,37284951,Kitchen,Facilities,245.00,2024-01-11
microwave,82647193,Kitchen,Facilities,134.99,2024-01-17
Kahve makinesi,15839472,Istanbul Office,Office Manager,189.00,2024-01-29
mini fridge,59274836,Kitchen,Facilities,234.50,2024-02-09
Cafetera expresso,48372915,Madrid Office,Office Manager,167.00,2024-02-17
water cooler,76194825,Kitchen,Facilities,345.00,2024-02-24
Printer HP LaserJet,23847561,Admin,Office Manager,456.00,2024-01-13
yazıcı,85739241,Istanbul Office,IT Turkey,389.00,2024-01-31
Impresora láser,47283695,Madrid Office,IT Madrid,423.50,2024-02-12
scanner,91627384,Admin,Office Manager,234.00,2024-02-23
multifunction printer,62748391,IT,Alex Rodriguez,678.90,2024-03-04
Logitech MX Master 3,38495726,Design Team,Emma Wilson,89.99,2024-01-21
computer mouse,74192836,Accounting,Mike Chen,23.50,2024-01-27
wireless mouse,56839472,IT,Alex Rodriguez,34.99,2024-02-05
Fare kablosuz,29384751,Istanbul Office,Mehmet Özkan,28.00,2024-02-15
Ratón óptico,83746192,Madrid Office,Carmen López,19.50,2024-02-27
gaming mouse RGB,15729384,IT,Alex Rodriguez,67.00,2024-03-07
mouse,64829375,Reception,Lucy Brown,15.99,2024-03-14
Mechanical keyboard RGB,47382916,Design Team,Emma Wilson,156.00,2024-01-23
keyboard wireless,81649372,Accounting,Mike Chen,45.50,2024-02-02
Klavye,39582746,Istanbul Office,Mehmet Özkan,67.00,2024-02-14
Teclado mecánico,72849361,Madrid Office,Carmen López,89.50,2024-02-29
ergonomic keyboard,58374912,HR,Jennifer Adams,123.00,2024-03-09
Office cabinet filing,94728361,Admin,Office Manager,234.00,2024-01-14
storage cabinet,26738459,Operations,Tom Wilson,156.50,2024-01-25
Dolap dosya,83947251,Istanbul Office,Office Manager,198.00,2024-02-08
Armario oficina,51849372,Madrid Office,Office Manager,234.50,2024-02-18
filing cabinet 4 drawer,79284563,Accounting,Mike Chen,345.00,2024-03-01
bookshelf 5 tier,37482916,Library,Admin,123.00,2024-01-20
book rack,84729361,Reception,Lucy Brown,67.99,2024-02-01
Kitaplık,59173842,Istanbul Office,Office Manager,145.00,2024-02-16
Estantería libros,42836951,Madrid Office,Office Manager,167.50,2024-03-05
shelf metal,76284391,Storage,Facilities,89.00,2024-03-13
Coffee mug ceramic,18394726,Kitchen,Facilities,12.99,2024-01-22
travel mug,63748291,Kitchen,Facilities,23.50,2024-02-03
Fincan,49582736,Istanbul Office,Office Manager,8.50,2024-02-12
Taza café,81739425,Madrid Office,Office Manager,11.00,2024-02-25
water bottle,57284639,Kitchen,Facilities,19.99,2024-03-08
Company branded mug,93746182,Marketing,Lisa Thompson,15.00,2024-03-16
Notebook A4 lined,28374951,Admin,Office Manager,8.99,2024-01-24
planner 2024,74829365,Management,Sarah Johnson,34.50,2024-01-26
Defter,46192837,Istanbul Office,Office Manager,6.50,2024-02-04
Cuaderno espiral,85739241,Madrid Office,Office Manager,7.75,2024-02-20
journal leather,39274856,Management,Sarah Johnson,45.00,2024-03-02
notepad,61748329,Reception,Lucy Brown,3.99,2024-03-10
Sticky notes pack,27485936,Admin,Office Manager,12.50,2024-01-28
post-it notes,84729361,Design Team,Emma Wilson,8.99,2024-02-06
Yapışkan not,53847291,Istanbul Office,Office Manager,9.50,2024-02-17
Notas adhesivas,71938462,Madrid Office,Office Manager,11.25,2024-03-04
reminder notes,49583726,HR,Jennifer Adams,7.50,2024-03-12
Ballpoint pen blue,86294751,Admin,Office Manager,1.99,2024-01-30
marker set,35728194,Design Team,Emma Wilson,23.50,2024-02-07
Kalem tükenmez,74839526,Istanbul Office,Office Manager,2.50,2024-02-19
Bolígrafo negro,52947381,Madrid Office,Office Manager,1.75,2024-03-06
fountain pen,91738425,Management,Sarah Johnson,89.00,2024-03-14
highlighter yellow,46283957,Accounting,Mike Chen,3.25,2024-03-19
